texto,categoria
quero um presente,presentes
preciso de um caderno,papelaria
quero decorar minha casa,decoracao
quero algo tecnologico,tecnologia
quero presente barato,presentes
preciso estudar,papelaria
quero algo bonito,decoracao
quero um celular novo,tecnologia
quero um presente criativo,presentes
preciso de canetas,papelaria
quero uma luminária,decoracao
quero um livro novo,livros
quero um presente para minha mãe,presentes
preciso de um caderno para a escola,papelaria
quero um quadro para minha sala,decoracao
quero um fone de ouvido novo,tecnologia
quero algo novo para ler,livros
quero um presente para meu pai,presentes
preciso de lápis de cor,papelaria
